geography,geography_type,quarter,year,quarter_number,quarter_index,delinquency_rate_pct
Abbotsford-Mission,cma,2012Q3,2012,3,8051,0.68
Abbotsford-Mission,cma,2012Q4,2012,4,8052,0.63
Abbotsford-Mission,cma,2013Q1,2013,1,8053,0.66
Abbotsford-Mission,cma,2013Q2,2013,2,8054,0.63
Abbotsford-Mission,cma,2013Q3,2013,3,8055,0.6
Abbotsford-Mission,cma,2013Q4,2013,4,8056,0.6
Abbotsford-Mission,cma,2014Q1,2014,1,8057,0.65
Abbotsford-Mission,cma,2014Q2,2014,2,8058,0.66
Abbotsford-Mission,cma,2014Q3,2014,3,8059,0.61
Abbotsford-Mission,cma,2014Q4,2014,4,8060,0.64
Abbotsford-Mission,cma,2015Q1,2015,1,8061,0.57
Abbotsford-Mission,cma,2015Q2,2015,2,8062,0.55
Abbotsford-Mission,cma,2015Q3,2015,3,8063,0.44
Abbotsford-Mission,cma,2015Q4,2015,4,8064,0.38
Abbotsford-Mission,cma,2016Q1,2016,1,8065,0.35
Abbotsford-Mission,cma,2016Q2,2016,2,8066,0.3
Abbotsford-Mission,cma,2016Q3,2016,3,8067,0.27
Abbotsford-Mission,cma,2016Q4,2016,4,8068,0.23
Abbotsford-Mission,cma,2017Q1,2017,1,8069,0.23
Abbotsford-Mission,cma,2017Q2,2017,2,8070,0.18
Abbotsford-Mission,cma,2017Q3,2017,3,8071,0.17
Abbotsford-Mission,cma,2017Q4,2017,4,8072,0.16
Abbotsford-Mission,cma,2018Q1,2018,1,8073,0.14
Abbotsford-Mission,cma,2018Q2,2018,2,8074,0.15
Abbotsford-Mission,cma,2018Q3,2018,3,8075,0.14
Abbotsford-Mission,cma,2018Q4,2018,4,8076,0.11
Abbotsford-Mission,cma,2019Q1,2019,1,8077,0.1
Abbotsford-Mission,cma,2019Q2,2019,2,8078,0.1
Abbotsford-Mission,cma,2019Q3,2019,3,8079,0.11
Abbotsford-Mission,cma,2019Q4,2019,4,8080,0.1
Abbotsford-Mission,cma,2020Q1,2020,1,8081,0.08
Abbotsford-Mission,cma,2020Q2,2020,2,8082,0.11
Abbotsford-Mission,cma,2020Q3,2020,3,8083,0.11
Abbotsford-Mission,cma,2020Q4,2020,4,8084,0.11
Abbotsford-Mission,cma,2021Q1,2021,1,8085,0.12
Abbotsford-Mission,cma,2021Q2,2021,2,8086,0.12
Abbotsford-Mission,cma,2021Q3,2021,3,8087,0.08
Abbotsford-Mission,cma,2021Q4,2021,4,8088,0.09
Abbotsford-Mission,cma,2022Q1,2022,1,8089,0.07
Abbotsford-Mission,cma,2022Q2,2022,2,8090,0.06
Abbotsford-Mission,cma,2022Q3,2022,3,8091,0.07
Abbotsford-Mission,cma,2022Q4,2022,4,8092,0.07
Abbotsford-Mission,cma,2023Q1,2023,1,8093,0.07
Abbotsford-Mission,cma,2023Q2,2023,2,8094,0.08
Abbotsford-Mission,cma,2023Q3,2023,3,8095,0.11
Abbotsford-Mission,cma,2023Q4,2023,4,8096,0.13
Abbotsford-Mission,cma,2024Q1,2024,1,8097,0.19
Abbotsford-Mission,cma,2024Q2,2024,2,8098,0.2
Abbotsford-Mission,cma,2024Q3,2024,3,8099,0.2
Abbotsford-Mission,cma,2024Q4,2024,4,8100,0.22
Abbotsford-Mission,cma,2025Q1,2025,1,8101,0.23
Abbotsford-Mission,cma,2025Q2,2025,2,8102,0.24
Abbotsford-Mission,cma,2025Q3,2025,3,8103,0.26
Abbotsford-Mission,cma,2025Q4,2025,4,8104,0.29
Barrie,cma,2012Q3,2012,3,8051,0.42
Barrie,cma,2012Q4,2012,4,8052,0.39
Barrie,cma,2013Q1,2013,1,8053,0.39
Barrie,cma,2013Q2,2013,2,8054,0.35
Barrie,cma,2013Q3,2013,3,8055,0.34
Barrie,cma,2013Q4,2013,4,8056,0.37
Barrie,cma,2014Q1,2014,1,8057,0.37
Barrie,cma,2014Q2,2014,2,8058,0.31
Barrie,cma,2014Q3,2014,3,8059,0.31
Barrie,cma,2014Q4,2014,4,8060,0.3
Barrie,cma,2015Q1,2015,1,8061,0.33
Barrie,cma,2015Q2,2015,2,8062,0.26
Barrie,cma,2015Q3,2015,3,8063,0.25
Barrie,cma,2015Q4,2015,4,8064,0.22
Barrie,cma,2016Q1,2016,1,8065,0.22
Barrie,cma,2016Q2,2016,2,8066,0.21
Barrie,cma,2016Q3,2016,3,8067,0.19
Barrie,cma,2016Q4,2016,4,8068,0.14
Barrie,cma,2017Q1,2017,1,8069,0.15
Barrie,cma,2017Q2,2017,2,8070,0.12
Barrie,cma,2017Q3,2017,3,8071,0.13
