quarter,year,quarter_number,delinquency_rate_pct,quarter_over_quarter_pp,year_over_year_pp
2012Q3,2012,3,0.38,,
2012Q4,2012,4,0.37,-0.01,
2013Q1,2013,1,0.37,0.0,
2013Q2,2013,2,0.35,-0.02,
2013Q3,2013,3,0.35,0.0,-0.03
2013Q4,2013,4,0.35,0.0,-0.02
2014Q1,2014,1,0.37,0.02,0.0
2014Q2,2014,2,0.34,-0.03,-0.01
2014Q3,2014,3,0.34,0.0,-0.01
2014Q4,2014,4,0.35,0.01,0.0
2015Q1,2015,1,0.36,0.01,-0.01
2015Q2,2015,2,0.35,-0.01,0.01
2015Q3,2015,3,0.35,0.0,0.01
2015Q4,2015,4,0.35,0.0,0.0
2016Q1,2016,1,0.36,0.01,0.0
2016Q2,2016,2,0.35,-0.01,0.0
2016Q3,2016,3,0.35,0.0,0.0
2016Q4,2016,4,0.34,-0.01,-0.01
2017Q1,2017,1,0.34,0.0,-0.02
2017Q2,2017,2,0.32,-0.02,-0.03
2017Q3,2017,3,0.3,-0.02,-0.05
2017Q4,2017,4,0.29,-0.01,-0.05
2018Q1,2018,1,0.29,0.0,-0.05
2018Q2,2018,2,0.28,-0.01,-0.04
2018Q3,2018,3,0.28,0.0,-0.02
2018Q4,2018,4,0.3,0.02,0.01
2019Q1,2019,1,0.3,0.0,0.01
2019Q2,2019,2,0.29,-0.01,0.01
2019Q3,2019,3,0.29,0.0,0.01
2019Q4,2019,4,0.29,0.0,-0.01
2020Q1,2020,1,0.29,0.0,-0.01
2020Q2,2020,2,0.29,0.0,0.0
2020Q3,2020,3,0.29,0.0,0.0
2020Q4,2020,4,0.25,-0.04,-0.04
2021Q1,2021,1,0.24,-0.01,-0.05
2021Q2,2021,2,0.21,-0.03,-0.08
2021Q3,2021,3,0.2,-0.01,-0.09
2021Q4,2021,4,0.19,-0.01,-0.06
2022Q1,2022,1,0.17,-0.02,-0.07
2022Q2,2022,2,0.16,-0.01,-0.05
2022Q3,2022,3,0.14,-0.02,-0.06
2022Q4,2022,4,0.14,0.0,-0.05
2023Q1,2023,1,0.15,0.01,-0.02
2023Q2,2023,2,0.15,0.0,-0.01
2023Q3,2023,3,0.15,0.0,0.01
2023Q4,2023,4,0.17,0.02,0.03
2024Q1,2024,1,0.19,0.02,0.04
2024Q2,2024,2,0.19,0.0,0.04
2024Q3,2024,3,0.2,0.01,0.05
2024Q4,2024,4,0.21,0.01,0.04
2025Q1,2025,1,0.23,0.02,0.04
2025Q2,2025,2,0.22,-0.01,0.03
2025Q3,2025,3,0.22,0.0,0.02
2025Q4,2025,4,0.24,0.02,0.03
